Циклический покоординатный спуск
      1	      1	[    0.0, 4.4721] 	  196.0	-1.7889	-      
      1	      2	[-1.7889, 4.4721] 	  180.0	-6.0374	-      
      1	      3	[-1.7889,-1.5652] 	 -111.6	-      	-      
      2	      1	[-1.7889,-1.5652] 	 -111.6	 -2.415	-      
      2	      2	[-4.2038,-1.5652] 	-140.76	-0.6037	-      
      2	      3	[-4.2038, -2.169] 	-143.676	-      	 2.4893
      3	      1	[-4.2038, -2.169] 	-143.676	-0.2415	-      
      3	      2	[-4.4453, -2.169] 	-143.9676	-0.0604	-      
      3	      3	[-4.4453,-2.2294] 	-143.9968	-      	 0.2489
      4	      1	[-4.4453,-2.2294] 	-143.9968	-0.0241	-      
      4	      2	[-4.4695,-2.2294] 	-143.9997	 -0.006	-      
      4	      3	[-4.4695,-2.2354] 	 -144.0	-      	 0.0249
      5	      1	[-4.4695,-2.2354] 	 -144.0	-0.0024	-      
      5	      2	[-4.4719,-2.2354] 	 -144.0	-0.0006	-      
      5	      3	[-4.4719, -2.236] 	 -144.0	-      	 0.0025
      6	      1	[-4.4719, -2.236] 	 -144.0	-0.0002	-      
      6	      2	[-4.4721, -2.236] 	 -144.0	-0.0001	-      
      6	      3	[-4.4721,-2.2361] 	 -144.0	-      	 0.0002

Метод Хука-Джипса
      1	      1	[    0.0, 4.4721] 	  196.0	-1.7889	-      	-      
      1	      2	[-1.7889, 4.4721] 	  180.0	-6.0374	-      	-      
      1	      3	[-1.7889,-1.5652] 	 -111.6	-      	-      	 1.0817
      2	      1	[ -1.935,-2.0585] 	-113.3646	-2.4661	 6.8112	-      
      2	      2	[-4.4011,-2.0585] 	-113.3646	-0.1598	-      	-      
      2	      3	[-4.4011,-2.2183] 	-143.7729	-      	-      	 1.0272
      3	      1	[-4.4681,-2.2226] 	-143.9987	 0.0013	 2.5384	-      
      3	      2	[-4.4668,-2.2226] 	-143.9987	-0.0121	-      	-      
      3	      3	[-4.4668,-2.2347] 	-143.9987	-      	-      	 0.9749
      4	      1	[-4.4668,-2.2344] 	-143.9999	-0.0047	 0.0118	-      
      4	      2	[-4.4715,-2.2344] 	-143.9999	-0.0015	-      	-      
      4	      3	[-4.4715,-2.2359] 	 -144.0	-      	-      	 1.1396
      5	      1	[-4.4721,-2.2361] 	 -144.0	   -0.0	 0.0056	-      
      5	      2	[-4.4722,-2.2361] 	 -144.0	    0.0	-      	-      
      5	      3	[-4.4722,-2.2361] 	 -144.0	-      	-      	 0.9034
      6	      1	[-4.4722,-2.2361] 	 -144.0	-      	    0.0	-      

Метод Розенброка
      1	      1	[    0.0, 4.4721] 	  196.0	-1.7889	-      
      1	      2	[-1.7889, 4.4721] 	  180.0	-6.0374	-      
      1	      3	[-1.7889,-1.5652] 	 -111.6	-      	-      
      2	      1	[-1.7889,-1.5652] 	 -111.6	 0.5144	-      
      2	      2	[ -1.935,-2.0585] 	-113.3646	-2.0311	-      
      2	      3	[-3.8824,-1.4814] 	-139.4857	-      	 2.0953
      3	      1	[-3.8824,-1.4814] 	-139.4857	 0.2408	-      
      3	      2	[-4.1231,-1.4718] 	-139.7852	 0.6918	-      
      3	      3	[-4.1507, -2.163] 	-143.5348	-      	 0.7325
      4	      1	[-4.1507, -2.163] 	-143.5348	 0.0771	-      
      4	      2	[ -4.179,-2.2348] 	-143.5718	-0.2324	-      
      4	      3	[-4.3952,-2.1496] 	-143.9373	-      	 0.2449
      5	      1	[-4.3952,-2.1496] 	-143.9373	 0.0348	-      
      5	      2	[  -4.43,-2.1477] 	-143.9436	 0.0802	-      
      5	      3	[-4.4344,-2.2278] 	-143.9936	-      	 0.0874
      6	      1	[-4.4344,-2.2278] 	-143.9936	 0.0118	-      
      6	      2	[-4.4397,-2.2384] 	-143.9944	-0.0259	-      
      6	      3	[-4.4629,-2.2268] 	-143.9992	-      	 0.0285
      7	      1	[-4.4629,-2.2268] 	-143.9992	  0.005	-      
      7	      2	[-4.4679,-2.2266] 	-143.9994	 0.0085	-      
      7	      3	[-4.4682,-2.2352] 	-143.9999	-      	 0.0099
      8	      1	[-4.4682,-2.2352] 	-143.9999	 0.0017	-      
      8	      2	[-4.4691,-2.2366] 	-143.9999	-0.0025	-      
      8	      3	[-4.4712,-2.2353] 	 -144.0	-      	  0.003
      9	      1	[-4.4712,-2.2353] 	 -144.0	 0.0006	-      
      9	      2	[-4.4719,-2.2353] 	 -144.0	 0.0007	-      
      9	      3	[-4.4718, -2.236] 	 -144.0	-      	  0.001

