Циклический покоординатный спуск
      1	      1	[ 3.1623,    0.0] 	   68.0	-2.8748	-      
      1	      2	[ 0.2875,    0.0] 	-22.9091	-3.4498	-      
      1	      3	[ 0.2875,-3.4498] 	-58.6116	-      	-      
      2	      1	[ 0.2875,-3.4498] 	-58.6116	 0.9408	-      
      2	      2	[ 1.2283,-3.4498] 	-68.3486	-0.9408	-      
      2	      3	[ 1.2283,-4.3906] 	-71.0042	-      	 1.3306
      3	      1	[ 1.2283,-4.3906] 	-71.0042	 0.2566	-      
      3	      2	[ 1.4849,-4.3906] 	-71.7284	-0.2566	-      
      3	      3	[ 1.4849,-4.6472] 	-71.9259	-      	 0.3629
      4	      1	[ 1.4849,-4.6472] 	-71.9259	   0.07	-      
      4	      2	[ 1.5549,-4.6472] 	-71.9798	  -0.07	-      
      4	      3	[ 1.5549,-4.7172] 	-71.9945	-      	  0.099
      5	      1	[ 1.5549,-4.7172] 	-71.9945	 0.0191	-      
      5	      2	[  1.574,-4.7172] 	-71.9985	-0.0191	-      
      5	      3	[  1.574,-4.7363] 	-71.9996	-      	  0.027
      6	      1	[  1.574,-4.7363] 	-71.9996	 0.0052	-      
      6	      2	[ 1.5792,-4.7363] 	-71.9999	-0.0052	-      
      6	      3	[ 1.5792,-4.7415] 	  -72.0	-      	 0.0074
      7	      1	[ 1.5792,-4.7415] 	  -72.0	 0.0014	-      
      7	      2	[ 1.5806,-4.7415] 	  -72.0	-0.0014	-      
      7	      3	[ 1.5806,-4.7429] 	  -72.0	-      	  0.002
      8	      1	[ 1.5806,-4.7429] 	  -72.0	 0.0004	-      
      8	      2	[  1.581,-4.7429] 	  -72.0	-0.0004	-      
      8	      3	[  1.581,-4.7433] 	  -72.0	-      	 0.0005

Метод Хука-Джипса
      1	      1	[ 3.1623,    0.0] 	   68.0	-2.8748	-      	-      
      1	      2	[ 0.2875,    0.0] 	-22.9091	-3.4498	-      	-      
      1	      3	[ 0.2875,-3.4498] 	-58.6116	-      	-      	 0.8401
      2	      1	[  0.747,-2.8983] 	-63.3677	 0.3309	 3.7727	-      
      2	      2	[ 1.0779,-2.8983] 	-63.3677	-1.3419	-      	-      
      2	      3	[ 1.0779,-4.2402] 	-64.572	-      	-      	 1.3379
      3	      1	[ 1.1897,-4.6936] 	-70.4242	 0.3778	 1.8491	-      
      3	      2	[ 1.5676,-4.6936] 	-70.4242	-0.0362	-      	-      
      3	      3	[ 1.5676,-4.7298] 	-71.9946	-      	-      	 1.0275
      4	      1	[  1.578,-4.7308] 	-71.9997	-0.0002	   0.39	-      
      4	      2	[ 1.5777,-4.7308] 	-71.9997	-0.0092	-      	-      
      4	      3	[ 1.5777,  -4.74] 	-71.9997	-      	-      	 0.9746
      5	      1	[ 1.5777,-4.7398] 	-71.9999	 0.0024	 0.0089	-      
      5	      2	[ 1.5801,-4.7398] 	-71.9999	-0.0027	-      	-      
      5	      3	[ 1.5801,-4.7424] 	  -72.0	-      	-      	 1.4104
      6	      1	[ 1.5811,-4.7435] 	  -72.0	    0.0	 0.0051	-      
      6	      2	[ 1.5812,-4.7435] 	  -72.0	 0.0001	-      	-      
      6	      3	[ 1.5812,-4.7434] 	  -72.0	-      	-      	 0.8307
      7	      1	[ 1.5812,-4.7435] 	  -72.0	-      	 0.0001	-      

Метод Розенброка
      1	      1	[ 3.1623,    0.0] 	   68.0	-2.8748	-      
      1	      2	[ 0.2875,    0.0] 	-22.9091	-3.4498	-      
      1	      3	[ 0.2875,-3.4498] 	-58.6116	-      	-      
      2	      1	[ 0.2875,-3.4498] 	-58.6116	-0.7179	-      
      2	      2	[  0.747,-2.8983] 	-63.3677	 0.9932	-      
      2	      3	[   1.51,-3.5341] 	-68.0731	-      	 1.2254
      3	      1	[   1.51,-3.5341] 	-68.0731	-0.2468	-      
      3	      2	[ 1.2638,-3.5171] 	-68.7157	-0.7923	-      
      3	      3	[ 1.2093,-4.3075] 	-70.8814	-      	 0.8299
      4	      1	[ 1.2093,-4.3075] 	-70.8814	-0.1365	-      
      4	      2	[ 1.2587,-4.1803] 	-70.9946	 0.2515	-      
      4	      3	[ 1.4931,-4.2715] 	-71.4958	-      	 0.2862
      5	      1	[ 1.4931,-4.2715] 	-71.4958	-0.0507	-      
      5	      2	[ 1.4428,-4.2779] 	-71.5257	-0.4164	-      
      5	      3	[ 1.4953,-4.6909] 	-71.9378	-      	 0.4195
      6	      1	[ 1.4953,-4.6909] 	-71.9378	-0.0323	-      
      6	      2	[ 1.4952,-4.6587] 	-71.9409	 0.0627	-      
      6	      3	[ 1.5578,-4.6583] 	-71.9842	-      	 0.0705
      7	      1	[ 1.5578,-4.6583] 	-71.9842	-0.0072	-      
      7	      2	[ 1.5514,-4.6617] 	-71.9848	-0.0782	-      
      7	      3	[ 1.5876, -4.731] 	-71.9986	-      	 0.0786
      8	      1	[ 1.5876, -4.731] 	-71.9986	 0.0055	-      
      8	      2	[ 1.5897,-4.7361] 	-71.9987	-0.0105	-      
      8	      3	[   1.58,-4.7401] 	  -72.0	-      	 0.0119
      9	      1	[   1.58,-4.7401] 	  -72.0	 0.0004	-      
      9	      2	[ 1.5798,-4.7404] 	  -72.0	 0.0016	-      
      9	      3	[  1.581,-4.7414] 	  -72.0	-      	 0.0017
     10	      1	[  1.581,-4.7414] 	  -72.0	 0.0005	-      
     10	      2	[ 1.5813,-4.7418] 	  -72.0	-0.0008	-      
     10	      3	[ 1.5807,-4.7423] 	  -72.0	-      	 0.0009

