Метод барьерных функций, Метод Ньютона
      1	[ 1.6731, -3.467]	-66.3146	   50.0	12.7879
      2	[ 1.5413,-4.6398]	-71.9751	   25.0	 0.1668
      3	[ 1.5536,-4.6693]	-71.9874	   12.5	 0.0003
Метод барьерных функций, Метод градиентного спуска с дроблением шага
      1	[ 2.6314,-0.3197]	26.7184	   90.0	 0.0078	 0.6197
      2	[ 2.2292,-0.5854]	 0.6548	   81.0	 0.0078	 0.4821
      3	[ 1.9151,-0.8157]	-16.621	   72.9	 0.0078	 0.3895
      4	[ 1.6687,-1.0185]	-28.3348	  65.61	 0.0078	 0.3192
      5	[ 1.4756,-1.1992]	-36.4377	 59.049	 0.0078	 0.2644
      6	[ 1.3251,-1.3618]	-42.1668	53.1441	 0.0078	 0.2215
      7	[ 1.2087,-1.5092]	-46.3207	47.8297	 0.0078	 0.1878
      8	[ 1.1196,-1.6439]	-49.4196	43.0467	 0.0078	 0.1615
      9	[ 1.0524, -1.768]	-51.8043	 38.742	 0.0078	 0.1411
     10	[ 1.0028,-1.8829]	-53.699	34.8678	 0.0078	 0.1252
     11	[ 0.9673,  -1.99]	-55.252	31.3811	 0.0078	 0.1128
     12	[  0.943,-2.0903]	-56.5616	 28.243	 0.0078	 0.1032
     13	[ 0.9277,-2.1847]	-57.6935	25.4187	 0.0078	 0.0956
     14	[ 0.9195,-2.2739]	-58.6922	22.8768	 0.0078	 0.0896
     15	[ 0.9169,-2.3585]	-59.5876	20.5891	 0.0078	 0.0846
     16	[ 0.9188,-2.4389]	-60.4006	18.5302	 0.0078	 0.0805
     17	[ 0.9242,-2.5157]	-61.1456	16.6772	 0.0078	  0.077
     18	[ 0.9323,-2.5891]	-61.833	15.0095	 0.0078	 0.0739
     19	[ 0.9425,-2.6595]	-62.4705	13.5085	 0.0078	 0.0711
     20	[ 0.9543, -2.727]	-63.0638	12.1577	 0.0078	 0.0685
     21	[ 0.9672,-2.7919]	-63.6174	10.9419	 0.0078	 0.0662
     22	[  0.981,-2.8544]	-64.1349	 9.8477	 0.0078	  0.064
     23	[ 0.9953,-2.9146]	-64.6193	 8.8629	 0.0078	 0.0619
     24	[ 1.0101,-2.9726]	-65.0731	 7.9766	 0.0078	 0.0599
     25	[  1.025,-3.0287]	-65.4986	  7.179	 0.0078	  0.058
     26	[   1.04,-3.0828]	-65.8976	 6.4611	 0.0078	 0.0562
     27	[  1.055,-3.1351]	-66.2719	  5.815	 0.0078	 0.0544
     28	[ 1.0699,-3.1856]	-66.6231	 5.2335	 0.0078	 0.0527
     29	[ 1.0846,-3.2345]	-66.9528	 4.7101	 0.0078	  0.051
     30	[  1.099,-3.2818]	-67.2622	 4.2391	 0.0078	 0.0495
     31	[ 1.1132,-3.3275]	-67.5526	 3.8152	 0.0078	 0.0479
     32	[ 1.1272,-3.3718]	-67.8253	 3.4337	 0.0078	 0.0464
     33	[ 1.1408,-3.4147]	-68.0812	 3.0903	 0.0078	  0.045
     34	[ 1.1541,-3.4562]	-68.3215	 2.7813	 0.0078	 0.0436
     35	[ 1.1671,-3.4964]	-68.547	 2.5032	 0.0078	 0.0422
     36	[ 1.1797,-3.5353]	-68.7588	 2.2528	 0.0078	 0.0409
     37	[  1.192, -3.573]	-68.9576	 2.0276	 0.0078	 0.0397
     38	[ 1.2039,-3.6096]	-69.1442	 1.8248	 0.0078	 0.0384
     39	[ 1.2155,-3.6449]	-69.3194	 1.6423	 0.0078	 0.0372
     40	[ 1.2268,-3.6792]	-69.4838	 1.4781	 0.0078	 0.0361
     41	[ 1.2378,-3.7124]	-69.6382	 1.3303	 0.0078	  0.035
     42	[ 1.2484,-3.7446]	-69.7831	 1.1973	 0.0078	 0.0339
     43	[ 1.2587,-3.7757]	-69.9192	 1.0775	 0.0078	 0.0328
     44	[ 1.2687,-3.8059]	-70.0469	 0.9698	 0.0078	 0.0318
     45	[ 1.2784,-3.8351]	-70.1668	 0.8728	 0.0078	 0.0308
     46	[ 1.2878,-3.8635]	-70.2793	 0.7855	 0.0078	 0.0299
     47	[  1.297,-3.8909]	-70.385	  0.707	 0.0078	 0.0289
     48	[ 1.3058,-3.9175]	-70.4841	 0.6363	 0.0078	  0.028
     49	[ 1.3144,-3.9433]	-70.5772	 0.5726	 0.0078	 0.0272
     50	[ 1.3227,-3.9682]	-70.6646	 0.5154	 0.0078	 0.0263
     51	[ 1.3308,-3.9924]	-70.7466	 0.4638	 0.0078	 0.0255
     52	[ 1.3386,-4.0158]	-70.8236	 0.4175	 0.0078	 0.0247
     53	[ 1.3461,-4.0386]	-70.8959	 0.3757	 0.0078	 0.0239
     54	[ 1.3535,-4.0605]	-70.9637	 0.3381	 0.0078	 0.0232
     55	[ 1.3606,-4.0819]	-71.0274	 0.3043	 0.0078	 0.0225
     56	[ 1.3675,-4.1025]	-71.0871	 0.2739	 0.0078	 0.0218
     57	[ 1.3741,-4.1225]	-71.1432	 0.2465	 0.0078	 0.0211
     58	[ 1.3806,-4.1419]	-71.1959	 0.2219	 0.0078	 0.0204
     59	[ 1.3868,-4.1607]	-71.2453	 0.1997	 0.0078	 0.0198
     60	[ 1.3929,-4.1789]	-71.2917	 0.1797	 0.0078	 0.0192
     61	[ 1.3988,-4.1965]	-71.3352	 0.1617	 0.0078	 0.0186
     62	[ 1.4045,-4.2136]	-71.3761	 0.1456	 0.0078	  0.018
     63	[   1.41,-4.2301]	-71.4144	  0.131	 0.0078	 0.0174
